лексема	язык	микрофрейм	минимальный контекст на языке	фрейм	такс.класс	поле	тип значения	пример	комментарии
*heavy	английский	тяжелый характер		давит ментально			п
*heavy	английский	давящий взгляд		давит ментально			п
*heavy	английский	голова (не с похмелья, а от раздумий)		давит ментально			п
*heavy	английский	душа (ср. тяжело на душе)		давит ментально			п
heavy	английский	сердце (ср. тяжело на сердце)		давит ментально			п
*heavy	английский	тяжелая мысль, воспоминание		давит ментально			п
*heavy	английский	тяжелый разговор		давит ментально			п
*heavy	английский	тяжелый фильм		давит ментально			п
*heavy	английский	пренеприятное известие		давит ментально			п
*heavy	английский	тяжелая жизнь		давит ментально			п
*heavy	английский	трудная ситуация		давит ментально			п
*heavy	английский	трудный год		давит ментально			п
*heavy	английский	трудный момент		давит ментально			п
*heavy	английский	тяжелое детство		давит ментально			п
*heavy	английский	тяжелые отношения, роман		давит ментально			п
heavy	английский	трудная задача	heavy task	давит ментально			п
*heavy	английский	трудная проблема		давит ментально			п
*heavy	английский	трудный вопрос		давит ментально			п
*heavy	английский	давящая тишина, темнота		давит ментально			п
*heavy	английский	гнетущее молчание		давит ментально			п
*heavy	английский	гнетущее чувство		давит ментально			п
*heavy	английский	тяжелое зрелище		давит ментально			п		нету!! 'authorities', 'boss', 'official' or 'civil servant' meaning "important": you could refer to them as 'Heavyweight' or 'Heavy-handed', but not simply as 'Heavy', except perhaps (again) as youth jargon indicating that the person is somehow threatening.
*heavy	английский	важный чиновник		значимый, весомый			п
*heavy	английский	значимый писатель		значимый, весомый			п
*heavy	английский	важный пост		значимый, весомый			п
*heavy	английский	значимый мужчина (ответственный, умный, опытный)		значимый, весомый			п
*heavy	английский	великий ум		значимый, весомый			п
*heavy	английский	голова (умная, отяжеленная интеллектом)		значимый, весомый			п
*heavy	английский	значимое событие		значимый, весомый			п
*heavy	английский	важное последствие (не обяз. плохое!)		значимый, весомый			п
*heavy	английский	значимое мнение		значимый, весомый			п
*heavy	английский	важные данные, сведения		значимый, весомый			п
*heavy	английский	важное соглашение		значимый, весомый			п
*heavy	английский	важная статья, работа		значимый, весомый			п
*heavy	английский	грубоватый, глуповатый анекдот					п
*heavy	английский	грубоватое замечание					п
*heavy	английский	болтливый рот 					п
*heavy	английский	быстрый шаг		скорость			п
*heavy	английский	быстрый бег		скорость			п
heavy	английский	деньги (большая сумма)		количество			п
heavy	английский	тяжелый налог (крупый)		количество			п
*heavy	английский	значительная премия		количество			п
*heavy	английский	большое богатство		количество			п
*heavy	английский	большая жертва		степень			п
heavy	английский	тяжелый алкоголик		степень			п		Heavy music listeners who don't want to burn every song might choose to rent.
heavy	английский	тяжелый больной		степень			п
	английский	тяжелый инвалид		степень			п
?heavy	английский	крепкий алкоголь		степень			п		heavy-bodied wine (either quite alcoholic or good taste)
*heavy	английский	крепкий чай, кофе		степень			п
	английский	тяжелый наркотик		степень			п
	английский	сильнодействующее лекарство		степень			п
*heavy	английский	сильная седина		степень			п
	английский	интенсивный запах (возможно, приятный)		степень			п
heavy	английский	интенсивный вкус		степень			п		The heavy taste of grease
*heavy	английский	сильный загар		степень			п
*heavy	английский	глубокие морщины		степень			п
heavy	английский	тяжелый вздох (явно слыщный)	heavy sigh	степень			п	heavy sigh (clearly audible; sad or wistful or in love)
*heavy	английский	яркий макияж		степень			п
*heavy	английский	сильный интерес		степень			п
*heavy	английский	непоколебимая вера		степень			п
*heavy	английский	сильное сомнение		степень			п
*heavy	английский	серьезная ошибка		степень			п
*heavy	английский	интенсивный спор		степень			п
*heavy	английский	интенсивная борьба		степень			п
*heavy	английский	тяжелое преступление		степень			п
heavy	английский	глубокий сон		степень			п	He was a heavy sleeper. He snored heavily (about a sound). He slept heavily=deeply.
*heavy	английский	сильная усталость		степень			п
	английский	сильная боль		степень			п
	английский	тяжелая болезнь		степень			п
	английский	сильное воспаление		степень			п
	английский	тяжелое ранение		степень			п
*heavy	английский	сильная вражда		степень			п
*heavy	английский	серьзная обида		степень			п
*heavy	английский	сильное волнение		степень			п
*heavy	английский	сильная зависть, ревность		степень			п
*heavy	английский	сильная радость		степень			п
*heavy	английский	сильное желание		степень			п
*heavy	английский	тяжелое горе 		степень			п
*heavy	английский	вопиющая наглость		степень			п
*heavy	английский	сильная доброта		степень			п
heavy	английский	сильный дождь		степень			п
heavy	английский	сильный снег		степень			п
heavy	английский	сильный ветер		степень			п
	английский	сильная гроза (буря, метель)		степень			п
	английский	сильный мороз		степень			п
	английский	сильная жара		степень			п
	английский	большой (тяжелый) вес		степень			п
	английский	серьезное осложнение		степень			п
	английский	сильное напряжение		степень			п
	английский	(оказывает) сильное давление		степень			п
	английский	тяжелый обстрел		степень			п
	английский	сильная забота		степень			п
