	lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
4515	-pajłi	хантыйский (говор с. теги)	гладкая доска	sɔxǝł	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4516	-pajłi	хантыйский (говор с. теги)	гладкий камень	kew	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4290	-tasane	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4291	-tasane	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4590	-valaz’ɛ	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4591	-valaz’ɛ	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4815	-vid’ə	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4816	-vid’ə	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3240	-вольк	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3241	-вольк	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3315	-вольсъёоны	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3316	-вольсъёоны	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5040	-лапужа	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5041	-лапужа	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5190	-нăсадăрць	ненецкий	гладкая доска	лата	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5191	-нăсадăрць	ненецкий	гладкий камень	пэ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4890	-нолажа	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4891	-нолажа	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3465	-плавкес	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3466	-плавкес	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3165	-плоский	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3166	-плоский	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3090	-ровный	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3091	-ровный	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5115	-салăт”	ненецкий	гладкая доска	лата	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
5116	-салăт”	ненецкий	гладкий камень	пэ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
2940	-скользкий	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
2941	-скользкий	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3990	-平 píng	китайский	гладкая доска		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3991	-平 píng	китайский	гладкий камень		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3840	-平坦 píngtǎn	китайский	гладкая доска		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3841	-平坦 píngtǎn	китайский	гладкий камень		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3915	-平整 píngzhěng	китайский	гладкая доска		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3916	-平整 píngzhěng	китайский	гладкий камень		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4066	-平滑 pínghuá	китайский	гладкий камень		гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4215	sile	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4216	sile	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4740	vad'av	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4741	vad'av	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4440	wŏł’ǝk	хантыйский (говор с. теги)	гладкая доска	sɔxǝł	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4441	wŏł’ǝk	хантыйский (говор с. теги)	гладкий камень	kew	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4965	валаня	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4966	валаня	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3015	гладкий	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3016	гладкий	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3390	мольыд	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3391	мольыд	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
5265	салмуй	ненецкий	гладкая доска	лата	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
5266	салмуй	ненецкий	гладкий камень	пэ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3690	光溜 guāngliu	китайский	гладкая доска	光溜的木板	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3691	光溜 guāngliu	китайский	гладкий камень	光溜的石头	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3615	光滑 guānghuá	китайский	гладкая доска	光滑的木板	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3616	光滑 guānghuá	китайский	гладкий камень	光滑的石头	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4065	平滑 pínghuá	китайский	гладкая доска	平滑的木板	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3765	滑 huá	китайский	гладкая доска	木板很滑	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
3766	滑 huá	китайский	гладкий камень	石头很滑	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			+
4667	-gur’kstəms	мокшанский	гладкая кожа (у девушки)	ked'	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4367	-lame	эстонский	гладкая кожа (у девушки)	nahk	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4142	-libe	эстонский	гладкая кожа (у девушки)	nahk	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3542	-liukas	финский	гладкая кожа (у девушки)	iho	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4517	-pajłi	хантыйский (говор с. теги)	гладкая кожа (у девушки)	sŏx	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4292	-tasane	эстонский	гладкая кожа (у девушки)	nahk	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4742	-vad'av	мокшанский	гладкая кожа (у девушки)	ked'	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4592	-valaz’ɛ	мокшанский	гладкая кожа (у девушки)	ked'	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4817	-vid’ə	мокшанский	гладкая кожа (у девушки)	ked'	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3242	-вольк	коми-зырянский (ижемский диалект)	гладкая кожа (у девушки)	ку	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3317	-вольсъёоны	коми-зырянский (ижемский диалект)	гладкая кожа (у девушки)	ку	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
5042	-лапужа	эрзянский	гладкая кожа (у девушки)	кедь	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
5192	-нăсадăрць	ненецкий	гладкая кожа (у девушки)	хоба	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4892	-нолажа	эрзянский	гладкая кожа (у девушки)	кедь	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3467	-плавкес	коми-зырянский (ижемский диалект)	гладкая кожа (у девушки)	ку	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3167	-плоский	русский	гладкая кожа (у девушки)	кожа	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3092	-ровный	русский	гладкая кожа (у девушки)	кожа	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
5117	-салăт”	ненецкий	гладкая кожа (у девушки)	хоба	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
2942	-скользкий	русский	гладкая кожа (у девушки)	кожа	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3992	-平 píng	китайский	гладкая кожа (у девушки)		гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3842	-平坦 píngtǎn	китайский	гладкая кожа (у девушки)		гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
3917	-平整 píngzhěng	китайский	гладкая кожа (у девушки)		гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4067	-平滑 pínghuá	китайский	гладкая кожа (у девушки)		гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			-
4217	sile	эстонский	гладкая кожа (у девушки)	nahk	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
4442	wŏł’ǝk	хантыйский (говор с. теги)	гладкая кожа (у девушки)	sŏx	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
4967	валаня	эрзянский	гладкая кожа (у девушки)	кедь	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
3017	гладкий	русский	гладкая кожа (у девушки)	кожа	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
3392	мольыд	коми-зырянский (ижемский диалект)	гладкая кожа (у девушки)	ку	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
5267	салмуй	ненецкий	гладкая кожа (у девушки)	хоба	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
3692	光溜 guāngliu	китайский	гладкая кожа (у девушки)	光溜的皮肤	гладкие поверхности тактильно воспринимаемых предметов: части тела	физ. свойства	гладкий	и			+
