Unnamed: 0	lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
3468	плавкес	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
3471	плавкес	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
3469	плавкес	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
3470	плавкес	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
3168	плоский	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
3171	плоский	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
3172	плоский	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
3169	плоский	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
3170	плоский	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
3093	ровный	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
3096	ровный	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
3097	ровный	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
3094	ровный	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
3095	ровный	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
5118	салăт”	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			0
5121	салăт”	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			0
5268	салмуй	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			1
5271	салмуй	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			1
2943	скользкий	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
2946	скользкий	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
2947	скользкий	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
2944	скользкий	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
2945	скользкий	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
3693	光溜 guāngliu	китайский	гладкая шерсть (у собаки)	光溜的毛		физ. свойства	гладкий	d			1
3696	光溜 guāngliu	китайский	гладкие волосы (хорошо причесанные)	光溜的头发		физ. свойства	гладкий	d			1
3697	光溜 guāngliu	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			1
3694	光溜 guāngliu	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			1
3695	光溜 guāngliu	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			1
3618	光滑 guānghuá	китайский	гладкая шерсть (у собаки)	光滑的毛		физ. свойства	гладкий	d			1
3621	光滑 guānghuá	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			1
3622	光滑 guānghuá	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			1
3619	光滑 guānghuá	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			1
3620	光滑 guānghuá	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			1
3993	平 píng	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
3996	平 píng	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
3997	平 píng	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
3994	平 píng	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
3995	平 píng	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
3843	平坦 píngtǎn	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
3846	平坦 píngtǎn	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
3847	平坦 píngtǎn	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
3844	平坦 píngtǎn	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
3845	平坦 píngtǎn	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
3918	平整 píngzhěng	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
3921	平整 píngzhěng	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
3922	平整 píngzhěng	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
3919	平整 píngzhěng	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
3920	平整 píngzhěng	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
4068	平滑 pínghuá	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
4071	平滑 pínghuá	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
4072	平滑 pínghuá	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
4069	平滑 pínghuá	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
4070	平滑 pínghuá	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
3768	滑 huá	китайский	гладкая шерсть (у собаки)	毛很滑		физ. свойства	гладкий	d			1
4655	gur’kstəms	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4656	gur’kstəms	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4657	gur’kstəms	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4355	lame	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4356	lame	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4357	lame	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4130	libe	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4131	libe	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4132	libe	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3530	liukas	финский	красноречивый человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
3531	liukas	финский	ловкий человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
3532	liukas	финский	сообразительный человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
4505	pajłi	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4506	pajłi	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4507	pajłi	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4205	sile	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4206	sile	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4207	sile	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4280	tasane	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4281	tasane	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4282	tasane	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4730	vad'av	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4731	vad'av	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4732	vad'av	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4580	valaz’ɛ	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4581	valaz’ɛ	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4582	valaz’ɛ	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4805	vid’ə	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4806	vid’ə	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4807	vid’ə	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4430	wŏł’ǝk	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4431	wŏł’ǝk	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4432	wŏł’ǝk	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4955	валаня	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4956	валаня	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4957	валаня	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3230	вольк	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3231	вольк	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3232	вольк	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3305	вольсъёоны	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3306	вольсъёоны	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3307	вольсъёоны	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3005	гладкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3006	гладкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3007	гладкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5030	лапужа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5031	лапужа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5032	лапужа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3380	мольыд	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3381	мольыд	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3382	мольыд	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5180	нăсадăрць	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5181	нăсадăрць	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5182	нăсадăрць	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4880	нолажа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4881	нолажа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4882	нолажа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3455	плавкес	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3456	плавкес	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3457	плавкес	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3155	плоский	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3156	плоский	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3157	плоский	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3080	ровный	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3081	ровный	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3082	ровный	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5105	салăт”	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5106	салăт”	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5107	салăт”	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5255	салмуй	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5256	салмуй	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
5257	салмуй	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
2930	скользкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
2931	скользкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
2932	скользкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3680	光溜 guāngliu	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3681	光溜 guāngliu	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3682	光溜 guāngliu	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3605	光滑 guānghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3606	光滑 guānghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3607	光滑 guānghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3980	平 píng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3981	平 píng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3982	平 píng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3830	平坦 píngtǎn	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3831	平坦 píngtǎn	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3832	平坦 píngtǎn	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3905	平整 píngzhěng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3906	平整 píngzhěng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3907	平整 píngzhěng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4055	平滑 pínghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4056	平滑 pínghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4057	平滑 pínghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3755	滑 huá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3756	滑 huá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
3757	滑 huá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
4665	gur’kstəms	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4666	gur’kstəms	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4365	lame	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4366	lame	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4140	libe	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4141	libe	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3540	liukas	финский	гладкая доска	lauta	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3541	liukas	финский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4515	pajłi	хантыйский (говор с. теги)	гладкая доска	sɔxǝł	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4516	pajłi	хантыйский (говор с. теги)	гладкий камень	kew	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4215	sile	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4216	sile	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4290	tasane	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4291	tasane	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4740	vad'av	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4741	vad'av	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4590	valaz’ɛ	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4591	valaz’ɛ	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4815	vid’ə	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4816	vid’ə	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
4440	wŏł’ǝk	хантыйский (говор с. теги)	гладкая доска	sɔxǝł	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4441	wŏł’ǝk	хантыйский (говор с. теги)	гладкий камень	kew	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4965	валаня	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
4966	валаня	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
3240	вольк	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3241	вольк	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3315	вольсъёоны	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3316	вольсъёоны	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
3015	гладкий	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
3016	гладкий	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			1
