lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
плоский	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
плоский	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
плоский	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
плоский	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
ровный	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
ровный	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
ровный	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
ровный	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
ровный	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
салăт”	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			0
салăт”	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			0
скользкий	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
скользкий	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			0
скользкий	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			0
скользкий	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			0
скользкий	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			0
平 píng	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
平 píng	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
平 píng	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
平 píng	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
平 píng	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
平坦 píngtǎn	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
平坦 píngtǎn	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
平坦 píngtǎn	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
平坦 píngtǎn	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
平坦 píngtǎn	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
平整 píngzhěng	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
平整 píngzhěng	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
平整 píngzhěng	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
平整 píngzhěng	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
平整 píngzhěng	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
平滑 pínghuá	китайский	гладкая шерсть (у собаки)			физ. свойства	гладкий	d			0
平滑 pínghuá	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			0
平滑 pínghuá	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			0
平滑 pínghuá	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			0
平滑 pínghuá	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			0
sile	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			1
sile	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			1
sile	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			1
vad'av	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			1
wŏł’ǝk	хантыйский (говор с. теги)	гладкая шерсть (у собаки)	pŭn		физ. свойства	гладкий	d			1
wŏł’ǝk	хантыйский (говор с. теги)	гладкие волосы (хорошо причесанные)	uopǝt		физ. свойства	гладкий	d			1
wŏł’ǝk	хантыйский (говор с. теги)	гладкие щеки (чисто выбритые)	weš pŭŋǝł		физ. свойства	гладкий	d			1
валаня	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			1
валаня	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			1
валаня	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			1
гладкий	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			1
гладкий	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			1
гладкий	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			1
гладкий	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			1
гладкий	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			1
мольыд	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			1
мольыд	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			1
мольыд	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			1
мольыд	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			1
салмуй	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			1
салмуй	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			1
光溜 guāngliu	китайский	гладкая шерсть (у собаки)	光溜的毛		физ. свойства	гладкий	d			1
光溜 guāngliu	китайский	гладкие волосы (хорошо причесанные)	光溜的头发		физ. свойства	гладкий	d			1
光溜 guāngliu	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			1
光溜 guāngliu	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			1
光溜 guāngliu	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			1
光滑 guānghuá	китайский	гладкая шерсть (у собаки)	光滑的毛		физ. свойства	гладкий	d			1
光滑 guānghuá	китайский	гладкие волосы (хорошо причесанные)			физ. свойства	гладкий	d			1
光滑 guānghuá	китайский	гладкие перышки птицы			физ. свойства	гладкий	d			1
光滑 guānghuá	китайский	гладкие щеки (чисто выбритые)			физ. свойства	гладкий	d			1
光滑 guānghuá	китайский	гладкий подбородок (чисто выбритый)			физ. свойства	гладкий	d			1
滑 huá	китайский	гладкая шерсть (у собаки)	毛很滑		физ. свойства	гладкий	d			1
gur’kstəms	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
gur’kstəms	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
gur’kstəms	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
lame	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
lame	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
lame	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
libe	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
libe	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
libe	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
pajłi	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
pajłi	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
pajłi	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
sile	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
sile	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
sile	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
tasane	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
tasane	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
tasane	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vad'av	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vad'av	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vad'av	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
valaz’ɛ	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
valaz’ɛ	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
valaz’ɛ	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vid’ə	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vid’ə	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
vid’ə	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
wŏł’ǝk	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
wŏł’ǝk	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
wŏł’ǝk	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
валаня	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
валаня	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
валаня	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольк	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольк	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольк	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольсъёоны	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольсъёоны	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
вольсъёоны	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
гладкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
гладкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
гладкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
лапужа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
лапужа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
лапужа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
мольыд	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
мольыд	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
мольыд	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нăсадăрць	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нăсадăрць	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нăсадăрць	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нолажа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нолажа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
нолажа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плавкес	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плавкес	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плавкес	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плоский	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плоский	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
плоский	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
ровный	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
ровный	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
ровный	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салăт”	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салăт”	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салăт”	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салмуй	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салмуй	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
салмуй	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
скользкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
скользкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
скользкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光溜 guāngliu	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光溜 guāngliu	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光溜 guāngliu	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光滑 guānghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光滑 guānghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
光滑 guānghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平 píng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平 píng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平 píng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平坦 píngtǎn	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平坦 píngtǎn	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平坦 píngtǎn	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平整 píngzhěng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平整 píngzhěng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平整 píngzhěng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平滑 pínghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平滑 pínghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
平滑 pínghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
滑 huá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
滑 huá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
滑 huá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	f			0
liukas	финский	красноречивый человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
liukas	финский	ловкий человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
liukas	финский	сообразительный человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	f			1
gur’kstəms	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
gur’kstəms	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
lame	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
lame	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
libe	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
libe	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
liukas	финский	гладкая доска	lauta	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
liukas	финский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
pajłi	хантыйский (говор с. теги)	гладкая доска	sɔxǝł	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
pajłi	хантыйский (говор с. теги)	гладкий камень	kew	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
tasane	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
tasane	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
valaz’ɛ	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
valaz’ɛ	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
vid’ə	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
vid’ə	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
лапужа	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
лапужа	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
нăсадăрць	ненецкий	гладкая доска	лата	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
нăсадăрць	ненецкий	гладкий камень	пэ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
нолажа	эрзянский	гладкая доска	лаз	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
нолажа	эрзянский	гладкий камень	кев	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкая доска	пӧӧ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкий камень	из	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
плоский	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
плоский	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
ровный	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
ровный	русский	гладкий камень	камень	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
салăт”	ненецкий	гладкая доска	лата	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
салăт”	ненецкий	гладкий камень	пэ	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
скользкий	русский	гладкая доска	доска	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	d			0
